company,year,sentence,label,score
Google,2022,"environmental report table of contents 1 about this report 2 our approach 5 performance highlights 8 progress against targets 11 environmental data 14 appendix endnotes glossary about this report and progress against our targets from our 2021 fiscal year (january 1 to december 31, 2021).",POSITIVE,0.9020957350730896
Google,2022,it also mentions notable targets set in 2022.,POSITIVE,0.972655713558197
Google,2022,"this report outlines how we're driving positive environmental impact throughout our business in five key ways: designing efficient data centers, advancing carbon-free energy, creating sustainable workplaces, building better devices and services, and empowering users with technology.",POSITIVE,0.9992631077766418
Google,2022,"for more information about our sustainability strategy, see google's sustainability website and sustainability reports page.",POSITIVE,0.6156277656555176
Google,2022,"for more information about our overall corporate responsibility initiatives, see google's commitments, as well as sustainability and related information.",POSITIVE,0.914412796497345
Google,2022,"for more information about our business, see the about google and alphabet investor relations websites.",NEGATIVE,0.9291102886199951
Google,2022,google environmental report 2022 1,NEGATIVE,0.9297417402267456
Google,2022,our approach we believe that every business has the opportunity and obligation to protect our planet.,POSITIVE,0.9952050447463989
Google,2022,"sustainability is one of our core values at google, and we strive to build sustainability into everything we do.",POSITIVE,0.9990066885948181
Google,2022,we've been a leader on sustainability and climate change since google's founding over 20 years ago.,POSITIVE,0.999524712562561
Google,2022,these are some of our key achievements over the past two decades: 2007: we became the first major company to be carbon neutral for our operations.,POSITIVE,0.9994103908538818
Google,2022,"2017: we became the first major company to match 100% of our annual electricity use with renewable energy, which we've achieved for five consecutive years.",POSITIVE,0.9988260865211487
Google,2022,2020: we issued $5.75 billion in sustainability bonds - the largest sustainability or green bond issuance by any company in history at the time.,POSITIVE,0.9985847473144531
Google,2022,"2021: we matched 66% of our data center electricity use with regional carbon-free sources, on an hourly basis.",NEGATIVE,0.9554336667060852
Google,2022,"our sustainability strategy is focused on three key pillars: accelerating the transition to carbon-free energy and a circular economy, empowering everyone with technology, and benefiting the people and places where we operate (see figure 1).",POSITIVE,0.9994303584098816
